DATACODE,CARDTYPE,STUDYID,SPECIES,DECAY,SUBSTID,SUBSP,SUBDECAY
TD012,6,ALCO,ALRU,1,DFGY,PSME,1
TD012,6,ALCO,ALRU,2,DFGY,UNKN,2
TD012,6,ALCO,ALRU,3,DFGY,UNKN,3
TD012,6,ALCO,ALRU,4,DFGY,UNKN,4
TD012,6,ALCO,ALRU,5,DFGY,UNKN,5
TD012,6,ALCO,PISI,1,HSGY,PISI,1
TD012,6,ALCO,PISI,2,HSGY,PISI,2
TD012,6,ALCO,PISI,3,HSGY,PISI,3
TD012,6,ALCO,PISI,4,HSGY,PISI,4
TD012,6,ALCO,PSME,1,DFGY,PSME,1
TD012,6,ALCO,PSME,2,DFGY,PSME,2
TD012,6,ALCO,PSME,3,DFGY,PSME,3
TD012,6,ALCO,PSME,4,DFGY,PSME,4
TD012,6,ALCO,RHPU,2,DFGY,UNKN,2
TD012,6,ALCO,SARA,2,DFGY,UNKN,2
TD012,6,ALCO,SARA,3,DFGY,UNKN,3
TD012,6,ALCO,SARA,4,DFGY,UNKN,4
TD012,6,ALCO,TSHE,1,HSGY,TSHE,1
TD012,6,ALCO,TSHE,2,HSGY,TSHE,2
TD012,6,ALCO,TSHE,3,HSGY,TSHE,3
TD012,6,ALCO,UNKN,3,DFGY,UNKN,3
TD012,6,ALCO,UNKN,4,DFGY,UNKN,4
TD012,6,ALCO,UNKN,5,DFGY,UNKN,5
TD012,6,DFGY,ABAM,1,DFGY,PSME,1
TD012,6,DFGY,ABAM,2,DFGY,PSME,2
TD012,6,DFGY,ABAM,3,DFGY,PSME,3
TD012,6,DFGY,ABAM,4,DFGY,PSME,4
TD012,6,DFGY,ABAM,5,DFGY,PSME,5
TD012,6,DFGY,ABCO,1,SQNP,ABCO,1
TD012,6,DFGY,ABCO,2,SQNP,ABCO,2
TD012,6,DFGY,ABCO,3,SQNP,ABCO,3
TD012,6,DFGY,ABCO,4,SQNP,ABCO,4
TD012,6,DFGY,ABGR,1,SQNP,ABCO,1
TD012,6,DFGY,ABGR,2,SQNP,ABCO,2
TD012,6,DFGY,ABGR,3,SQNP,ABCO,3
TD012,6,DFGY,ABGR,4,SQNP,ABCO,4
TD012,6,DFGY,ABPR,1,DFGY,PSME,1
TD012,6,DFGY,ABPR,2,DFGY,PSME,2
TD012,6,DFGY,ABPR,3,DFGY,PSME,3
TD012,6,DFGY,ABPR,4,DFGY,PSME,4
TD012,6,DFGY,ABSP,1,SQNP,ABCO,1
TD012,6,DFGY,ABSP,2,SQNP,ABCO,2
TD012,6,DFGY,ABSP,3,SQNP,ABCO,3
TD012,6,DFGY,ABSP,4,SQNP,ABCO,4
TD012,6,DFGY,ABSP,5,SQNP,UNKN,5
TD012,6,DFGY,ACCI,1,DFGY,PSME,1
TD012,6,DFGY,ACCI,2,DFGY,PSME,2
TD012,6,DFGY,ACCI,3,DFGY,PSME,3
TD012,6,DFGY,ACMA,1,DFGY,PSME,1
TD012,6,DFGY,ACMA,2,DFGY,PSME,2
TD012,6,DFGY,ACMA,3,DFGY,PSME,3
TD012,6,DFGY,ACMA,4,DFGY,PSME,4
TD012,6,DFGY,ACMA,5,DFGY,PSME,5
TD012,6,DFGY,ALRU,1,DFGY,PSME,1
TD012,6,DFGY,ALRU,2,DFGY,UNKN,2
TD012,6,DFGY,ALRU,3,DFGY,UNKN,3
TD012,6,DFGY,ALRU,4,DFGY,UNKN,4
TD012,6,DFGY,ALRU,5,DFGY,UNKN,5
TD012,6,DFGY,CACH,1,DFGY,PSME,1
TD012,6,DFGY,CACH,2,DFGY,PSME,2
TD012,6,DFGY,CACH,3,DFGY,PSME,3
TD012,6,DFGY,CACH,4,DFGY,PSME,4
